buffer,resolution,realised_deg,signal,n_cells,freq,variant,period,lag,lag_kind,n,block,r,p_naive,n_eff_first,p_eff_first,n_eff_nw,p_eff_nw,boot_lo,boot_hi,p_perm,p_fdr,fdr_reject,verdict
0.25,native,0.0546,footprint,448,W,level,52,0,lag0,377,7,-0.0314,0.5427928009785998,298.4,0.5885179746745903,288.2,0.5950362253439094,-0.1423,0.0653,0.6152769446110777,0.9961690201642212,False,ns
0.25,native,0.0546,footprint,448,W,level,52,-8,peak,369,7,-0.0696,0.18199186999719483,267.6,0.25629831490157007,264.3,0.2592962761063673,-0.188,0.0305,0.26494701059788045,0.40372877805391305,False,ns
0.25,native,0.0546,footprint,448,W,intensity-model,52,0,lag0,377,7,0.061,0.2372050822743156,304.8,0.28824707758716106,300.6,0.29159491428142287,-0.0443,0.1504,0.3105378924215157,0.9961690201642212,False,ns
0.25,native,0.0546,footprint,448,W,intensity-model,52,-2,peak,375,7,0.0846,0.10172612962538813,299.7,0.1438128640352132,297.5,0.14530050468133296,-0.0114,0.1694,0.13697260547890422,0.26564384092878396,False,ns
0.25,native,0.0546,footprint,448,W,yoy,52,0,lag0,325,7,-0.0015,0.978906126250805,250.5,0.9815035598396125,236.4,0.9820357573075541,-0.1535,0.1469,0.9806038792241552,0.9961690201642212,False,ns
0.25,native,0.0546,footprint,448,W,yoy,52,-8,peak,317,7,0.0367,0.5152877125988682,232.7,0.577771709494321,220.2,0.5883173022623213,-0.0759,0.1475,0.5706858628274345,0.6056755861942367,False,ns
0.25,native,0.0546,footprint,448,W,stl,52,0,lag0,377,7,-0.03,0.5613535724938863,297.3,0.6063345698779302,299.6,0.6048987724677235,-0.1446,0.0668,0.6286742651469706,0.9961690201642212,False,ns
0.25,native,0.0546,footprint,448,W,stl,52,3,peak,374,7,-0.047,0.36496264376433646,295.0,0.4214913705046871,297.4,0.4196091534070808,-0.1566,0.0526,0.4491101779644071,0.5748610277944411,False,ns
0.25,native,0.0546,footprint,448,ME,level,12,0,lag0,90,4,-0.0379,0.7225949295321686,65.7,0.7629097220731362,61.2,0.7712399242151552,-0.3063,0.1668,0.7934413117376524,0.9961690201642212,False,ns
0.25,native,0.0546,footprint,448,ME,level,12,-5,peak,85,4,-0.3038,0.004709976346553058,59.9,0.01840325455071885,56.9,0.02178898212301595,-0.5574,-0.0126,0.018196360727854428,0.1959608078384323,False,fragile (naive-only)
0.25,native,0.0546,footprint,448,ME,intensity-model,12,0,lag0,90,4,0.1238,0.2449931809746431,69.8,0.30787273872833654,64.9,0.32614006113349603,-0.126,0.2956,0.3619276144771046,0.9961690201642212,False,ns
0.25,native,0.0546,footprint,448,ME,intensity-model,12,6,peak,84,4,0.2691,0.0133290052582885,65.3,0.02978419449993121,61.4,0.0353935252156888,-0.0889,0.5267,0.04599080183963208,0.1959608078384323,False,fragile (naive-only)
0.25,native,0.0546,footprint,448,ME,yoy,12,0,lag0,78,4,-0.004,0.9724274363561318,53.3,0.9773787813201028,50.9,0.9779142498520023,-0.4217,0.2977,0.9798040391921615,0.9961690201642212,False,ns
0.25,native,0.0546,footprint,448,ME,yoy,12,-6,peak,72,4,-0.2656,0.024155505411455717,50.0,0.062407611379821315,47.2,0.07054055204238223,-0.6144,0.1505,0.07198560287942411,0.2193846944896735,False,fragile (naive-only)
0.25,native,0.0546,footprint,448,ME,stl,12,0,lag0,90,4,-0.0359,0.7369518457830971,73.5,0.7622800444466388,67.8,0.7716175033441793,-0.2864,0.1583,0.7954409118176364,0.9961690201642212,False,ns
0.25,native,0.0546,footprint,448,ME,stl,12,-5,peak,85,4,-0.2855,0.0080771339793087,69.4,0.01707942664610267,64.1,0.022097727736879447,-0.5436,0.0126,0.014997000599880024,0.1959608078384323,False,fragile (naive-only)
0.25,0.1,0.1091,footprint,77,W,level,52,0,lag0,377,7,0.0072,0.8891739775139389,274.4,0.9054794827522407,282.1,0.904164030075983,-0.1118,0.1002,0.908618276344731,0.9961690201642212,False,ns
0.25,0.1,0.1091,footprint,77,W,level,52,-8,peak,369,7,-0.0474,0.36424580145597396,247.4,0.4583098485877171,262.2,0.445046587644945,-0.1726,0.0503,0.4363127374525095,0.5748610277944411,False,ns
0.25,0.1,0.1091,footprint,77,W,intensity-model,52,0,lag0,377,7,0.0677,0.18958762274778185,276.7,0.2616950106306033,286.8,0.2530278395475342,-0.0446,0.1562,0.2663467306538692,0.9961690201642212,False,ns
0.25,0.1,0.1091,footprint,77,W,intensity-model,52,1,peak,376,7,0.082,0.11239090977797603,276.0,0.17432144602435543,286.2,0.16648623762132517,-0.023,0.1703,0.1829634073185363,0.31647724509152225,False,ns
0.25,0.1,0.1091,footprint,77,W,yoy,52,0,lag0,325,7,-0.0133,0.8105818034297527,219.1,0.8442779426608612,228.0,0.8411662540745911,-0.1749,0.1424,0.826634673065387,0.9961690201642212,False,ns
0.25,0.1,0.1091,footprint,77,W,yoy,52,7,peak,318,7,-0.0431,0.44341526528249536,214.6,0.5297610201568506,223.2,0.5215175212709519,-0.2382,0.1553,0.490501899620076,0.5889067800474992,False,ns
0.25,0.1,0.1091,footprint,77,W,stl,52,0,lag0,377,7,-0.0139,0.7872113935474185,268.6,0.8200217507014086,288.3,0.8135874271160942,-0.1375,0.0799,0.8264347130573885,0.9961690201642212,False,ns
0.25,0.1,0.1091,footprint,77,W,stl,52,3,peak,374,7,-0.0346,0.5042768721170813,266.5,0.573514293418966,286.1,0.5596213626786414,-0.16,0.0616,0.5772845430913818,0.6056755861942367,False,ns
0.25,0.1,0.1091,footprint,77,ME,level,12,0,lag0,90,4,0.0238,0.8240409931574044,72.4,0.8424450716545853,68.2,0.8472194001691665,-0.2577,0.2059,0.8664267146570686,0.9961690201642212,False,ns
0.25,0.1,0.1091,footprint,77,ME,level,12,-5,peak,85,4,-0.253,0.019498482487871574,66.2,0.040128337854243024,63.2,0.04515663370050176,-0.5312,0.0079,0.04479104179164167,0.1959608078384323,False,fragile (naive-only)
0.25,0.1,0.1091,footprint,77,ME,intensity-model,12,0,lag0,90,4,0.1232,0.24734496207002785,74.2,0.2951026968722247,70.0,0.30952781857785394,-0.1329,0.2815,0.34153169366126773,0.9961690201642212,False,ns
0.25,0.1,0.1091,footprint,77,ME,intensity-model,12,6,peak,84,4,0.2606,0.016662150290435995,69.9,0.02945173382994153,66.5,0.03386827690416929,-0.0925,0.5113,0.041991601679664065,0.1959608078384323,False,fragile (naive-only)
0.25,0.1,0.1091,footprint,77,ME,yoy,12,0,lag0,78,4,-0.0286,0.80363247933019,58.0,0.8311434530408996,55.9,0.834398868606748,-0.4472,0.2671,0.8362327534493101,0.9961690201642212,False,ns
0.25,0.1,0.1091,footprint,77,ME,yoy,12,-6,peak,72,4,-0.2722,0.020703566794283007,53.9,0.0467109291831057,51.7,0.05168443256556115,-0.6028,0.1244,0.05878824235152969,0.1980235531841,False,fragile (naive-only)
0.25,0.1,0.1091,footprint,77,ME,stl,12,0,lag0,90,4,0.0058,0.957079989694871,83.8,0.9586312832098731,80.1,0.9595894130271391,-0.2424,0.1713,0.9650069986002799,0.9961690201642212,False,ns
0.25,0.1,0.1091,footprint,77,ME,stl,12,-5,peak,85,4,-0.221,0.042099951964913035,79.2,0.050003383054659095,75.7,0.05562936846531314,-0.533,0.0541,0.05858828234353129,0.1980235531841,False,fragile (naive-only)
0.25,0.15,0.1637,footprint,44,W,level,52,0,lag0,377,7,-0.0436,0.39899801780753874,284.9,0.46392645145418765,285.3,0.4636169602473048,-0.157,0.0552,0.4797040591881624,0.9961690201642212,False,ns
0.25,0.15,0.1637,footprint,44,W,level,52,-8,peak,369,7,-0.072,0.16764323498415784,262.3,0.24534054654494974,265.3,0.24260414878122763,-0.1976,0.031,0.241751649670066,0.37736842875327375,False,ns
0.25,0.15,0.1637,footprint,44,W,intensity-model,52,0,lag0,377,7,0.0335,0.5160871276056386,289.4,0.5697932497038225,294.3,0.5664875466292759,-0.0719,0.1238,0.5940811837632474,0.9961690201642212,False,ns
0.25,0.15,0.1637,footprint,44,W,intensity-model,52,-2,peak,375,7,0.0715,0.16704754987360265,285.5,0.22847191226273195,292.0,0.2231523475598718,-0.0312,0.1668,0.20995800839832032,0.3359328134373125,False,ns
0.25,0.15,0.1637,footprint,44,W,yoy,52,0,lag0,325,7,-0.0219,0.6941965086950322,217.3,0.7483283305395316,232.4,0.7399351376101022,-0.1734,0.1272,0.7250549890021996,0.9961690201642212,False,ns
0.25,0.15,0.1637,footprint,44,W,yoy,52,7,peak,318,7,-0.0401,0.47664905002250274,212.8,0.561216694888609,227.5,0.547797797152926,-0.233,0.1445,0.5158968206358728,0.5889067800474992,False,ns
0.25,0.15,0.1637,footprint,44,W,stl,52,0,lag0,377,7,0.0181,0.7265383444977414,271.0,0.7671226375769777,289.6,0.7594289846085219,-0.0995,0.116,0.7666466706658668,0.9961690201642212,False,ns
0.25,0.15,0.1637,footprint,44,W,stl,52,-2,peak,375,7,0.0584,0.25895237169892016,269.6,0.3390868790597185,288.1,0.32293194041568485,-0.0419,0.1529,0.2981403719256149,0.43365872280089435,False,ns
0.25,0.15,0.1637,footprint,44,ME,level,12,0,lag0,90,4,-0.0525,0.6228697676630739,75.6,0.653100661647771,68.2,0.6700085074389208,-0.3147,0.1553,0.7160567886422715,0.9961690201642212,False,ns
0.25,0.15,0.1637,footprint,44,ME,level,12,-5,peak,85,4,-0.2675,0.013310743138271592,69.8,0.02537466109963269,63.6,0.03311203145953352,-0.5318,-0.0101,0.02979404119176165,0.1959608078384323,False,fragile (naive-only)
0.25,0.15,0.1637,footprint,44,ME,intensity-model,12,0,lag0,90,4,0.0748,0.48356970719176695,78.9,0.512799664071539,71.4,0.5340476429892078,-0.1576,0.2491,0.6114777044591082,0.9961690201642212,False,ns
0.25,0.15,0.1637,footprint,44,ME,intensity-model,12,6,peak,84,4,0.2637,0.015361546256367813,74.6,0.02265775542697978,68.1,0.02961441440171208,-0.1172,0.5189,0.04899020195960808,0.1959608078384323,False,fragile (naive-only)
0.25,0.15,0.1637,footprint,44,ME,yoy,12,0,lag0,78,4,-0.0308,0.7889722898664582,67.6,0.803752880929971,60.4,0.8146806851176907,-0.4056,0.2574,0.8304339132173565,0.9961690201642212,False,ns
0.25,0.15,0.1637,footprint,44,ME,yoy,12,6,peak,72,4,0.2586,0.02829897770821321,62.3,0.04190286038333908,55.8,0.054733381513023954,-0.1341,0.4893,0.1299740051989602,0.26564384092878396,False,fragile (naive-only)
0.25,0.15,0.1637,footprint,44,ME,stl,12,0,lag0,90,4,0.0048,0.9639178970861274,81.9,0.9656178365677546,71.6,0.9679228321405238,-0.2599,0.2102,0.9732053589282144,0.9961690201642212,False,ns
0.25,0.15,0.1637,footprint,44,ME,stl,12,6,peak,84,4,0.2378,0.02938972411608417,76.6,0.03777505894696193,66.9,0.052773394161865474,-0.1801,0.5098,0.08998200359928014,0.25038470566756216,False,fragile (naive-only)
0.25,0.25,0.2728,footprint,11,W,level,52,0,lag0,377,7,-0.0154,0.7663061468901288,253.6,0.8077331849120104,248.2,0.809753042059311,-0.1414,0.0985,0.8074385122975405,0.9961690201642212,False,ns
0.25,0.25,0.2728,footprint,11,W,level,52,-2,peak,375,7,0.0395,0.44589564502725165,251.0,0.5335147694793689,248.6,0.5355221847886685,-0.0883,0.1604,0.524495100979804,0.5889067800474992,False,ns
0.25,0.25,0.2728,footprint,11,W,intensity-model,52,0,lag0,377,7,-0.0256,0.6208083144985282,253.7,0.6853391699643692,248.4,0.6885143309152747,-0.1531,0.0882,0.6952609478104379,0.9961690201642212,False,ns
0.25,0.25,0.2728,footprint,11,W,intensity-model,52,-1,peak,376,7,-0.0302,0.5599728220548827,254.1,0.6323966272500752,248.4,0.6362498494598553,-0.1607,0.0839,0.6456708658268346,0.6559196097288479,False,ns
0.25,0.25,0.2728,footprint,11,W,yoy,52,0,lag0,325,7,-0.0209,0.7070300744022361,190.9,0.7738804598634073,209.2,0.7635175636122248,-0.1774,0.1346,0.7454509098180364,0.9961690201642212,False,ns
0.25,0.25,0.2728,footprint,11,W,yoy,52,4,peak,321,7,0.0453,0.4186976577808842,188.3,0.5368415737886729,206.5,0.5175368860227082,-0.0911,0.1705,0.5010997800439912,0.5889067800474992,False,ns
0.25,0.25,0.2728,footprint,11,W,stl,52,0,lag0,377,7,0.0147,0.7760994980061144,324.5,0.7920063971548345,310.7,0.7964144150740279,-0.0886,0.1099,0.7848430313937212,0.9961690201642212,False,ns
0.25,0.25,0.2728,footprint,11,W,stl,52,-5,peak,372,7,0.057,0.27302919098518963,319.2,0.3102045337028022,307.1,0.3196114194285127,-0.0526,0.1436,0.35892821435712857,0.5104756826412495,False,ns
0.25,0.25,0.2728,footprint,11,ME,level,12,0,lag0,90,4,0.0105,0.9214951579759457,75.7,0.9281600516166695,67.8,0.9321600017806753,-0.2576,0.2322,0.9424115176964607,0.9961690201642212,False,ns
0.25,0.25,0.2728,footprint,11,ME,level,12,6,peak,84,4,0.2457,0.024275803848794453,74.3,0.034475779385727226,65.2,0.04813107449433527,-0.1826,0.502,0.10337932413517296,0.261363111992986,False,fragile (naive-only)
0.25,0.25,0.2728,footprint,11,ME,intensity-model,12,0,lag0,90,4,-0.0212,0.8430683533458542,75.8,0.8562606737690153,67.7,0.8643225630226528,-0.2907,0.2051,0.8800239952009599,0.9961690201642212,False,ns
0.25,0.25,0.2728,footprint,11,ME,intensity-model,12,6,peak,84,4,0.2161,0.04833225377685139,74.7,0.06316221057010958,65.5,0.08256259446132407,-0.2168,0.4824,0.15576884623075385,0.28483446167909277,False,fragile (naive-only)
0.25,0.25,0.2728,footprint,11,ME,yoy,12,0,lag0,78,4,-0.0085,0.9413846341275643,78.0,0.9413846341275651,73.1,0.9433310671394926,-0.305,0.2706,0.9560087982403519,0.9961690201642212,False,ns
0.25,0.25,0.2728,footprint,11,ME,yoy,12,6,peak,72,4,0.2358,0.04617743663219897,72.0,0.04617743663219899,68.7,0.051598106901980974,-0.1239,0.4566,0.14537092581483704,0.273639389769105,False,fragile (naive-only)
0.25,0.25,0.2728,footprint,11,ME,stl,12,0,lag0,90,4,0.0213,0.8421967714231922,90.0,0.842196771423191,78.8,0.8525142977009974,-0.1936,0.2364,0.8822235552889423,0.9961690201642212,False,ns
